id,name,stem_key,base_cost_per_lb,unit,notes,default_yield_placeholder
220-240鴨脾,220 / 240鴨脾(10KG),220 / 240鴨脾,7.3,磅,company-quote-2025-10,0.85
鴨利,鴨利(1kg / 包),鴨利,95,KG,company-quote-2025-10,0.85
中國鵝肝,中國鵝肝(700~800g),中國鵝肝,290,KG,company-quote-2025-10,0.85
熟鵝腸,熟鵝腸(2.5KG * 6餅),熟鵝腸,137.5,餅,company-quote-2025-10,0.85
波蘭鵝腳,波蘭鵝腳(15KG),波蘭鵝腳,34,磅,company-quote-2025-10,0.85
紐西蘭羊卷肉,紐西蘭羊卷肉(網裝),紐西蘭羊卷肉,45,磅,company-quote-2025-10,0.85
中國羊卷肉,中國羊卷肉(柱裝),中國羊卷肉,31,磅,company-quote-2025-10,0.85
羊肉,羊肉片(代切),羊肉,31,磅,company-quote-2025-10,0.85
紐西蘭7支骨羊骨扒,紐西蘭7支骨羊骨扒(特級),紐西蘭7支骨羊骨扒,61,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=61 | prefer_原件抄碼_then_non代切_name | merge_key=紐西蘭7支骨羊骨扒|磅,0.85
淨羊腩,淨羊腩(原件),淨羊腩,34.5,磅,company-quote-2025-10,0.85
1-2kg紐西蘭青衣柳,1-2KG紐西蘭青衣柳(10KG),1-2KG紐西蘭青衣柳,37,磅,company-quote-2025-10,0.85
120-170越南魚柳m,120 / 170越南魚柳M(榮希),120 / 170越南魚柳M,7.5,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=7.5 | prefer_原件抄碼_then_non代切_name | merge_key=120 / 170越南魚柳M|磅,0.85
170-220越南魚柳l,170 / 220越南魚柳L,170 / 220越南魚柳L,7.2,磅,company-quote-2025-10,0.85
220-越南魚柳-xxl,220+越南魚柳 XXL (IQF),220+越南魚柳 XXL,7.2,磅,company-quote-2025-10,0.85
特選45頭蒲燒鰻魚,特選45頭蒲燒鰻魚(5kg / 盒),特選45頭蒲燒鰻魚,168,KG,company-quote-2025-10,0.85
特選100頭蒲燒鰻魚,特選100頭蒲燒鰻魚(5kg / 盒),特選100頭蒲燒鰻魚,168,KG,company-quote-2025-10,0.85
60頭蒲燒鰻魚,60頭蒲燒鰻魚(5kg / 盒),60頭蒲燒鰻魚,168,KG,company-quote-2025-10,0.85
蒲燒鰻魚,蒲燒鰻魚(500g),蒲燒鰻魚,96,條,company-quote-2025-10,0.85
蒲燒鰻魚-2,蒲燒鰻魚(300g),蒲燒鰻魚,64,條,company-quote-2025-10,0.85
蒲燒鰻魚碎肉,蒲燒鰻魚碎肉,蒲燒鰻魚碎肉,28,包,company-quote-2025-10,0.85
180紐西蘭魷魚頭,180紐西蘭魷魚頭(10KG),180紐西蘭魷魚頭,17.5,磅,company-quote-2025-10,0.85
u5魷魚筒,U5魷魚筒(10KG),U5魷魚筒,14.8,磅,company-quote-2025-10,0.85
21-25去皮鮮魷,21 / 25去皮鮮魷(16KG),21 / 25去皮鮮魷,15,磅,company-quote-2025-10,0.85
xl墨魚咀,XL墨魚咀(IQF),XL墨魚咀,18.5,磅,company-quote-2025-10,0.85
海鮮什錦,海鮮什錦(1kg / 包),海鮮什錦,24.5,KG,company-quote-2025-10,0.85
60魷魚翼,60魷魚翼(10KG),60魷魚翼,14.5,磅,company-quote-2025-10,0.85
水魷,水魷,水魷,28,磅,company-quote-2025-10,0.85
銀鱈魚,銀鱈魚(1級)(5~7磅) (代切+$1 / 磅),銀鱈魚,78,磅,company-quote-2025-10,0.85
鯖魚柳,鯖魚柳(70頭) (10KG),鯖魚柳,47,KG,company-quote-2025-10,0.85
煙三文魚,煙三文魚(1kg*10包),煙三文魚,118,KG,company-quote-2025-10,0.85
煙三文魚-2,煙三文魚(超市裝500G / 包),煙三文魚,72,包,company-quote-2025-10,0.85
急凍原條三文魚,急凍原條三文魚,急凍原條三文魚,34,磅,company-quote-2025-10,0.85
原條代切三文魚扒,原條代切三文魚扒,原條代切三文魚扒,34,磅,company-quote-2025-10,0.85
多春魚,多春魚,多春魚,17,磅,company-quote-2025-10,0.85
比目魚,比目魚(代切+$1 / 磅),比目魚,43,磅,company-quote-2025-10,0.85
白飯魚,白飯魚(銀魚) (1KG x 20盒),白飯魚,46.8,KG,company-quote-2025-10,0.85
1-2墨魚頭,1 / 2墨魚頭(12KG),1 / 2墨魚頭,21,磅,company-quote-2025-10,0.85
40-60墨魚仔,40 / 60墨魚仔(4.5磅 / 包),40 / 60墨魚仔,17.5,磅,company-quote-2025-10,0.85
100-200南美白蝦,100 / 200南美白蝦(1.8KG / 餅),100 / 200南美白蝦,14.5,磅,company-quote-2025-10,0.85
91-120南美白蝦,91 / 120南美白蝦(1.8KG / 餅),91 / 120南美白蝦,16,磅,company-quote-2025-10,0.85
71-90南美白蝦,71 / 90南美白蝦(1.8KG / 餅),71 / 90南美白蝦,17,磅,company-quote-2025-10,0.85
51-60南美白蝦,51 / 60南美白蝦 (1.8KG / 餅),51 / 60南美白蝦,19,磅,company-quote-2025-10,0.85
41-50南美白蝦,41 / 50南美白蝦(1.8KG / 餅),41 / 50南美白蝦,22,磅,company-quote-2025-10,0.85
31-40南美白蝦,31 / 40南美白蝦(1.8KG / 餅),31 / 40南美白蝦,23.5,磅,company-quote-2025-10,0.85
26-30南美白蝦,26 / 30南美白蝦(1.8KG / 餅),26 / 30南美白蝦,24.5,磅,company-quote-2025-10,0.85
21-25南美白蝦,21 / 25南美白蝦(1.8KG / 餅),21 / 25南美白蝦,30,磅,company-quote-2025-10,0.85
16-20越南蝦肉,16 / 20越南蝦肉(1.8KG / 餅),16 / 20越南蝦肉,39,磅,company-quote-2025-10,0.85
越南6-8原隻虎蝦,越南6 / 8原隻虎蝦(1kg / 盒),越南6 / 8原隻虎蝦,138,KG,company-quote-2025-10,0.85
越南8-10原隻虎蝦,越南8 / 10原隻虎蝦(1kg / 盒),越南8 / 10原隻虎蝦,118,KG,company-quote-2025-10,0.85
越南10-12原隻虎蝦,越南10 / 12原隻虎蝦(1kg / 盒),越南10 / 12原隻虎蝦,94,KG,company-quote-2025-10,0.85
越南13-15原隻虎蝦,越南13 / 15原隻虎蝦(1kg / 盒),越南13 / 15原隻虎蝦,83,KG,company-quote-2025-10,0.85
越南16-20原隻虎蝦,越南16 / 20原隻虎蝦(1kg / 盒),越南16 / 20原隻虎蝦,74,KG,company-quote-2025-10,0.85
越南21-25原隻虎蝦,越南21 / 25原隻虎蝦(1kg / 盒),越南21 / 25原隻虎蝦,70,KG,company-quote-2025-10,0.85
越南31-40單凍鳳尾蝦,越南31 / 40單凍鳳尾蝦(1kg),越南31 / 40單凍鳳尾蝦,63,KG,company-quote-2025-10,0.85
120-150軟殼蟹,120-150軟殼蟹(小冰)(1kg / 盒),120-150軟殼蟹,82,KG,company-quote-2025-10,0.85
圓心白蟹肉-2kg,圓心白蟹肉(餅裝)2kg,圓心白蟹肉 2kg,106,KG,company-quote-2025-10,0.85
細粒蟹籽,細粒蟹籽(多春魚籽)(1kg / 盒),細粒蟹籽,126,KG,company-quote-2025-10,0.85
雪場蟹棒,雪場蟹棒 (500g / 包),雪場蟹棒,32,包,company-quote-2025-10,0.85
大蟹柳,大蟹柳(32條),大蟹柳,13.5,包,company-quote-2025-10,0.85
日本凍廣島蠔2l,"日本凍廣島蠔2L (21-30 / 隻,1Kg / 包)",日本凍廣島蠔2L,118,KG,company-quote-2025-10,0.85
半殼青口m,半殼青口M (1kg / 包),半殼青口M,68.5,KG,company-quote-2025-10,0.85
半殼青口l,半殼青口L (1kg / 包),半殼青口L,68.5,KG,company-quote-2025-10,0.85
青口肉,青口肉(1kg / 包),青口肉,82,KG,company-quote-2025-10,0.85
智利藍青口,智利藍青口 (1LB / 包),智利藍青口,12.5,磅,company-quote-2025-10,0.85
20-30熟食用帶子,20 / 30熟食用帶子(IQF) (1kg / 盒),20 / 30熟食用帶子,146,KG,company-quote-2025-10,0.85
60-80珍珠帶子肉,60 / 80珍珠帶子肉(IQF) (1kg / 包),60 / 80珍珠帶子肉,40,KG,company-quote-2025-10,0.85
80-100珍珠帶子肉,80 / 100珍珠帶子肉(IQF) (1kg / 包),80 / 100珍珠帶子肉,37,KG,company-quote-2025-10,0.85
200-300黃蜆肉,200-300黃蜆肉(1kg / 包),200-300黃蜆肉,25.5,KG,company-quote-2025-10,0.85
21-25日本熟帆立貝l,21 / 25日本熟帆立貝L (1kg / 包),21 / 25日本熟帆立貝L,129,KG,company-quote-2025-10,0.85
60-80北海道熟帆立貝,60 / 80北海道熟帆立貝(1kg / 包),60 / 80北海道熟帆立貝,67,KG,company-quote-2025-10,0.85
半殼扇貝-10-12cm,半殼扇貝 10~12cm (1KG / 包),半殼扇貝 10~12cm,49,KG,company-quote-2025-10,0.85
美雪-煎餃子,【美雪】煎餃子 (50隻 / 包),【美雪】煎餃子,35,包,company-quote-2025-10,0.85
雞軟骨餃子,雞軟骨餃子,雞軟骨餃子,39,包,company-quote-2025-10,0.85
手羽芝士豚肉餃子,手羽芝士豚肉餃子(10隻x10包),手羽芝士豚肉餃子,41,包,company-quote-2025-10,0.85
白菜豬肉水餃子,"白菜豬肉水餃子 (20g / 隻,10隻 / 盒)",白菜豬肉水餃子,16.2,小盒,company-quote-2025-10,0.85
冬菇雞肉水餃,"冬菇雞肉水餃 (20g / 隻,10隻 / 盒)",冬菇雞肉水餃,16.2,小盒,company-quote-2025-10,0.85
韭菜豬肉水餃,"韭菜豬肉水餃 (20g / 隻,10隻 / 盒)",韭菜豬肉水餃,16.2,小盒,company-quote-2025-10,0.85
鳳城水餃,"鳳城水餃 (17g / 隻,12隻 / 盒)",鳳城水餃,27.5,小盒,company-quote-2025-10,0.85
廣東鮮蝦雲吞,"廣東鮮蝦雲吞 (17g / 隻,12隻 / 盒)",廣東鮮蝦雲吞,27.5,小盒,company-quote-2025-10,0.85
麻辣雲吞,"麻辣雲吞 (17g / 隻,12隻 / 盒)",麻辣雲吞,28.9,小盒,company-quote-2025-10,0.85
蝦皇雲吞,"蝦皇雲吞 (28g / 隻,10隻 / 盒)",蝦皇雲吞,29.3,小盒,company-quote-2025-10,0.85
美樂-火腿,【美樂】火腿片,【美樂】火腿,13,包,company-quote-2025-10,0.85
大利-火腿,【大利】火腿片(1磅裝),【大利】火腿,14.5,包,company-quote-2025-10,0.85
北歐-火腿,【北歐】火腿片(2磅裝),【北歐】火腿,29,包,company-quote-2025-10,0.85
越南扎肉,越南扎肉 (28條 / 箱),越南扎肉,39,條,company-quote-2025-10,0.85
維京-2磅煙肉,【維京】2磅煙肉片(包裝),【維京】2磅煙肉,40,包,company-quote-2025-10,0.85
大利-2磅煙肉,【大利】2磅煙肉片(包裝),【大利】2磅煙肉,36.7,包,company-quote-2025-10,0.85
豬柳漢堡扒-1-5安士,豬柳漢堡扒(散裝)1.5安士,豬柳漢堡扒 1.5安士,27,磅,company-quote-2025-10,0.85
鍾意食-豬柳漢堡扒,鍾意食-豬柳漢堡扒(包裝)(6塊 / 包),鍾意食-豬柳漢堡扒,20,包,company-quote-2025-10,0.85
奧利茗-法蘭克福腸,【奧利茗】法蘭克福腸(1kg包),【奧利茗】法蘭克福腸,36,包,company-quote-2025-10,0.85
金妹-司華力腸,【金妹】司華力腸(8條 / 包),【金妹】司華力腸,59,包,company-quote-2025-10,0.85
金妹-芝士脆皮腸,【金妹】芝士脆皮腸(2磅裝),【金妹】芝士脆皮腸,57.2,包,company-quote-2025-10,0.85
紅腸,紅腸,紅腸,12,磅,company-quote-2025-10,0.85
廚師牌雞肉腸,廚師牌雞肉腸,廚師牌雞肉腸,13.8,包,company-quote-2025-10,0.85
寶雕牌雞肉腸,寶雕牌雞肉腸,寶雕牌雞肉腸,11.2,包,company-quote-2025-10,0.85
4式混合腸,4式混合腸 (454G),4式混合腸,47,包,company-quote-2025-10,0.85
蜜味台灣腸,蜜味台灣腸(1kg / 包),蜜味台灣腸,54,包,company-quote-2025-10,0.85
紐倫堡腸,紐倫堡腸 (30g),紐倫堡腸,64,KG,company-quote-2025-10,0.85
意式風味比薩腸,意式風味比薩腸,意式風味比薩腸,72,KG,company-quote-2025-10,0.85
莎樂滋味腸,莎樂滋味腸,莎樂滋味腸,64,KG,company-quote-2025-10,0.85
西班牙式辣肉腸,西班牙式辣肉腸 (60g),西班牙式辣肉腸,64,KG,company-quote-2025-10,0.85
四海-牛肉丸,【四海】牛肉丸(3斤 / 包),【四海】牛肉丸,23.8,磅,company-quote-2025-10,0.85
四海-牛筋丸,【四海】牛筋丸(3斤 / 包),【四海】牛筋丸,24.1,磅,company-quote-2025-10,0.85
四海-炸魚蛋,【四海】炸魚蛋(大) (3斤 / 包),【四海】炸魚蛋,13,磅,company-quote-2025-10,0.85
四海-炸魚旦,【四海】炸魚旦(細) (3斤 / 包),【四海】炸魚旦,13,磅,company-quote-2025-10,0.85
四海-台式貢丸,【四海】台式貢丸(3斤 / 包),【四海】台式貢丸,26.5,磅,company-quote-2025-10,0.85
四海-魚皮餃,【四海】魚皮餃(1斤 / 盒),【四海】魚皮餃,51,磅,company-quote-2025-10,0.85
四海-炸魚,【四海】炸魚條(3斤 / 包),【四海】炸魚,15,磅,company-quote-2025-10,0.85
四海-黃金魚片頭,【四海】黃金魚片頭(1斤 / 包),【四海】黃金魚片頭,31,包,company-quote-2025-10,0.85
四海-順德魚腐,【四海】順德魚腐(3斤 / 包),【四海】順德魚腐,22.5,磅,company-quote-2025-10,0.85
四海-魚肉春卷,【四海】魚肉春卷,【四海】魚肉春卷,21,磅,company-quote-2025-10,0.85
四海-墨魚丸,【四海】墨魚丸(3斤 / 包),【四海】墨魚丸,26.6,磅,company-quote-2025-10,0.85
四海-炸蝦卷,【四海】炸蝦卷(3斤 / 包),【四海】炸蝦卷,18,磅,company-quote-2025-10,0.85
ecd長洲特大魚蛋,ECD長洲特大魚蛋,ECD長洲特大魚蛋,21,磅,company-quote-2025-10,0.85
潮汕地道牛肉丸250g,潮汕地道牛肉丸250G,潮汕地道牛肉丸250G,15,包,company-quote-2025-10,0.85
新永興-特級墨丸皇,【新永興】特級墨丸皇,【新永興】特級墨丸皇,40,磅,company-quote-2025-10,0.85
白魚蛋,白魚蛋 (青木牌)(3K / 4包),白魚蛋,10.8,磅,company-quote-2025-10,0.85
新永興-魚肉燒賣3斤-包,【新永興】魚肉燒賣3斤 / 包,【新永興】魚肉燒賣3斤 / 包,11.5,磅,company-quote-2025-10,0.85
獅子狗,獅子狗(3kg / 包),獅子狗,15.2,磅,company-quote-2025-10,0.85
鳴門卷,鳴門卷(50條 / 箱),鳴門卷,8,條,company-quote-2025-10,0.85
花枝丸,花枝丸(特級),花枝丸,22,磅,company-quote-2025-10,0.85
龍蝦丸3kg-包,龍蝦丸3KG / 包,龍蝦丸3KG / 包,18.9,磅,company-quote-2025-10,0.85
包心芝士丸3kg-包,包心芝士丸3KG / 包,包心芝士丸3KG / 包,19.7,磅,company-quote-2025-10,0.85
蟹子蟹粉包3kg-包,蟹子蟹粉包3KG / 包,蟹子蟹粉包3KG / 包,19.3,磅,company-quote-2025-10,0.85
海膽包3kg-包,海膽包3KG / 包,海膽包3KG / 包,19.3,磅,company-quote-2025-10,0.85
福茂-貢丸,【福茂】貢丸(特級) (3kg / 包),【福茂】貢丸,25.8,磅,company-quote-2025-10,0.85
韓國-韓牛牛肉丸,【韓國】韓牛牛肉丸(香港製造),【韓國】韓牛牛肉丸,38.5,小盒,company-quote-2025-10,0.85
